Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,City,State,Country
Host & Stay - Mary Lyth,Entire apartment,Whitby,8.5,Very good,3,0,0,54.4874141,-0.6155111,,England,United Kingdom
Mossie Apartment,Entire apartment,Ayr,9.6,Exceptional,2,0,0,55.4628044,-4.6302502,,Alba / Scotland,United Kingdom
Aaron Wise - 17 Fitzhamon Apartments,Entire apartment,Cardiff,8.9,Fabulous,2,0,0,51.4816546,-3.1791934,Cardiff,Cymru / Wales,United Kingdom
Irene Court Cockermouth,Entire apartment,Cockermouth,8.2,Very good,3,0,0,54.6614392,-3.3590111,Allerdale,England,United Kingdom
Host & Stay - The Merchants Quarters,Entire apartment,Scarborough,9.3,Superb,3,0,0,54.2820009,-0.4011868,,England,United Kingdom
Stylish 2 Bed Apart In The Heart of North Norfolk,Entire apartment,North Walsham,9.1,Superb,3,0,0,52.8213308,1.3861979,North Norfolk,England,United Kingdom
Wuthering Heights,Entire holiday home,Sedbergh,9.7,Exceptional,3,355,0,54.34600675,-2.483718041949941,South Lakeland,England,United Kingdom
Oakstays City Centre Gem,Entire apartment,"Newcastle City Centre, Newcastle upon Tyne",7.8,Good,3,327,0,54.9772205,-1.6612259989810887,Newcastle upon Tyne,England,United Kingdom
Turnberry accommodation,Entire apartment,Turnberry,8.9,Fabulous,3,286,0,55.3224311,-4.836721796807566,,Alba / Scotland,United Kingdom
Stunning Countryside Woodland Lodge & Wood Fired Hot Tub,Entire holiday home,Hambleton,8.8,Fabulous,1,533,0,54.25045835,-1.4368783044428555,Hambleton,England,United Kingdom
New Private Apartment Building Minutes From Heathrow,Entire apartment,Slough,7.8,Good,3,242,255,51.5111014,-0.5940682,,England,United Kingdom
Ty'r Afon - River Cottage,Entire holiday home,Bala,9.4,Superb,3,286,0,-8.456018100000001,115.27038551191185,,Bali,Indonesia
Lovely 2-bedroom apartment with designated parking - Brixham,Entire apartment,Brixham,9.3,Superb,2,268,0,50.3952404,-3.514544,,England,United Kingdom
Host & Stay - West Cliff View Apartment,Entire apartment,Whitby,8.0,Very good,2,212,0,54.4874141,-0.6155111,,England,United Kingdom
Kellas Cottage,Entire apartment,Murroes,8.7,Fabulous,3,223,0,56.5047525,-2.8756788,,Alba / Scotland,United Kingdom
The Bookbinders Residence Leeds City Centre,Entire apartment,"Leeds City Centre, Leeds",7.4,Good,4,332,0,53.809128400000006,-1.5302367852524053,Leeds,England,United Kingdom
Cotswold Valley Aparthotel,Entire apartment,Stroud,7.1,Good,5,250,0,51.745424,-2.2198605,,England,United Kingdom
The Stunning Abode - Close to Leeds - Parking,Entire apartment,Batley Carr,7.9,Good,4,240,0,53.7045649,-1.6357472,Kirklees,England,United Kingdom
County Hall Apartment Hotel,Entire apartment,Boston,8.1,Very good,2,310,0,42.3554334,-71.060511,Boston,Massachusetts,United States
Luxe Your Stay- Cheltenham,Entire apartment,Shurdington,7.4,Good,3,214,0,51.8671797,-2.116902,,England,United Kingdom
Smart Town Centre Apartments,Entire apartment,Northampton,8.7,Fabulous,2,270,0,52.23433665,-0.9028072768185829,,England,United Kingdom
Indigo Lodge - Aberdovey,Entire holiday home,Aberdyfi,7.5,Good,4,274,0,52.5451248,-4.0533624,,Cymru / Wales,United Kingdom
SunnyVale Valley View Cottage,Entire holiday home,Gorran Haven,9.4,Superb,4,341,0,50.2412337,-4.7927555,,England,United Kingdom
Host & Stay - Retreat By The Sea,Entire holiday home,Marske-by-the-Sea,8.8,Fabulous,2,226,0,54.5919266,-1.0196792,,England,United Kingdom
"Splendid 2 bed Georgian Suite at Florence House, centre of Herne Bay and 300m from beach",Entire apartment,Herne Bay,9.0,Superb,2,284,334,51.3719507,1.1306951,Canterbury,England,United Kingdom
Mynydd A Môr,Entire holiday home,Trevor,8.9,Fabulous,3,196,245,52.9738499,-3.0880255,,Cymru / Wales,United Kingdom
Glenlochy Nevis Bridge Apartments,Entire apartment,Fort William,9.0,Superb,4,275,394,56.8178285,-5.110974,,Alba / Scotland,United Kingdom
