Name,Roomsinfo,Beds,Location,DiscountPrice,ActualPrice,Reviews,Host
KCS Birmingham City Apartment with Balcony/Parking,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 60m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Entire apartment</span>","The Westside, Birmingham","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 187,949</span>",,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Comfortable Apartment in Sheffield with Parking,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 63m²5 beds (2 singles, 1 double, 2 sofa beds)","<span class=""bb58e7a787"">Entire apartment</span>",Neepsend,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 80,192</span>",,"<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
The Victorian Barn Self Catering Holiday Complex,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 65m²3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire holiday home</span>",Woolland,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 172,855</span>",,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Perfect Waterside Getaway! Luxury in Plymouth's RWY - Sleeps 6 - Private Parking - Habita Property,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 89m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Entire apartment</span>",Plymouth,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 422,795</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 469,772</span>","<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Seagull Cottage - Pakefield holiday home,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 70m²3 beds (2 singles, 1 extra-large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Pakefield,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 110,559</span>",,"<div aria-label=""Scored 9.1 "" class=""b5cd09854e d10a6220b4"">9.1</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
"Xclusive Living Stay near Airport & NEC, The Whitecroft","Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 130m²3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire holiday home</span>",Sheldon,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 238,806</span>",,"<div aria-label=""Scored 7.9 "" class=""b5cd09854e d10a6220b4"">7.9</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Host & Stay - Pete's Retreat,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 63m²2 beds (1 single, 1 double)","<span class=""bb58e7a787"">Entire apartment</span>",Saltburn-by-the-Sea,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Primero Apartments - Lake District,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²2 large double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Backbarrow,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Uist Travel Accommodation,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 65m²3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire apartment</span>",Daliburgh,,,"<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Host & Stay - 39 Marine Parade,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 57m²2 beds (1 double, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Saltburn-by-the-Sea,,,"<div aria-label=""Scored 9.1 "" class=""b5cd09854e d10a6220b4"">9.1</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Howgills Apartments,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 61m²6 beds (4 bunk beds, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Sedbergh,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
The Mill Suites - Tas Accommodations,2 private suites2 double beds,"<span class=""bb58e7a787"">2 private suites</span>",Cambridge,,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
